Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance
80,N0SZ,145.37,-,0.6,,88.5,88.5,23,23,NN,DIG,5,Jefferson | OPEN | On-Air | Rocky Mountain Ham Radio | CCARC | 2017-03-11,12.9
81,WA2YZT,446.8375,-,5,,88.5,88.5,23,23,NN,DIG,5,Jefferson | OPEN | On-Air | WA2YZT | CCARC | 2017-02-23,12.9
82,W0CDS,1283.9625,-,20,,88.5,88.5,23,23,NN,DIG,5,"Jefferson | OPEN | On-Air | Colorado D-Star | CCARC | 2014-01-03
    Please help us confirm this repeater!",12.9
83,W0CDS,145.25,-,0.6,,88.5,88.5,23,23,NN,DIG,5,"Jefferson | OPEN | On-Air | Colorado D-Star | CCARC | 2014-01-03
    Please help us confirm this repeater!",12.9
84,W0CDS,446.9625,-,5,,88.5,88.5,23,23,NN,DIG,5,Jefferson | OPEN | On-Air | Colorado D-Star | CCARC | 2017-03-11,12.9
85,N6LXX,53.17,-,1.7,Tone,107.2,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | N6LXX | CCARC | 2017-03-09,12.9
86,N6LXX,447.875,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,Jefferson | OPEN | On-Air | N6LXX | CCARC | 2017-03-09,12.9
87,W0CDS,1299.9,,0,,88.5,88.5,23,23,NN,DIG,5,"Jefferson | OPEN | On-Air | Colorado D-Star | 2014-01-03
    Please help us confirm this repeater!",12.9
88,W0KU,449.625,-,5,TSQL,141.3,141.3,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Rocky Mountain Ham Radio | CCARC | 2017-03-11,13.2
89,W0WYX,449.825,-,5,Tone,103.5,88.5,23,23,NN,FM,5,"Boulder | OPEN | On-Air | Rocky Mountain Radio League | CCARC | 2012-11-16
    Please help us confirm this repeater!",13.5
90,W0LMA,448.925,-,5,Tone,131.8,88.5,23,23,NN,FM,5,"Boulder | OPEN | On-Air | W0LMA | CCARC | 2012-11-10
    Please help us confirm this repeater!",13.5
91,K0GUR,448.15,-,5,TSQL,141.3,141.3,23,23,NN,FM,5,Denver | OPEN | On-Air | K0GUR | CCARC | 2017-01-13,13.5
92,W0MOG,224.72,-,1.6,TSQL,103.5,103.5,23,23,NN,FM,5,El Paso | OPEN | On-Air | w0mog | 2017-04-07,13.8
93,WB0TUB,449.6,-,5,Tone,100,88.5,23,23,NN,FM,5,"Jefferson | OPEN | On-Air | Denver Radio League | CCARC | 2014-03-04
    Please help us confirm this repeater!",14.4
94,WB0TUB,146.88,-,0.6,Tone,100,88.5,23,23,NN,FM,5,"Jefferson | OPEN | On-Air | Denver Radio League | CCARC | 2014-03-04
    Please help us confirm this repeater!",14.4
95,KD0MDP,447.625,-,5,TSQL,100,100,23,23,NN,FM,5,El Paso | OPEN | On-Air | KD0MDP | 2015-06-02,14.6
96,N0ESQ,446.925,-,5,,88.5,88.5,23,23,NN,DIG,5,"Douglas | OPEN | On-Air | CCARC | 2012-06-14
    Please help us confirm this repeater!",15.7
97,N0ESQ,447.525,-,5,TSQL,146.2,146.2,23,23,NN,FM,5,Douglas | OPEN | On-Air | EmComm Colorado | CCARC | 2015-06-17,15.7
98,N0SZ,446.875,-,5,,88.5,88.5,23,23,NN,DIG,5,Douglas | OPEN | On-Air | W0VG | CCARC | 2018-01-27,16.2
99,KI0HC,927.8375,-,25.8,,88.5,88.5,23,23,NN,FM,5,Douglas | OPEN | On-Air | CCARC | 2018-02-21,16.7
100,,447.2,-,5,,88.5,88.5,23,23,NN,FM,5,El Paso | OPEN | Testing | GGARC | 2015-11-11,17.9
101,KI0GO,449.75,-,5,TSQL,103.5,103.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Rocky Mtn Radio League | CCARC | 2016-12-23,18.1
102,WT0C,145.22,-,0.6,TSQL,103.5,103.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Rocky Mtn Radio League | CCARC | 2016-12-23,18.1
103,N0POH,224.74,-,1.6,TSQL,88.5,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Aurora Repeater Assoc | CCARC | 2016-01-17,18.1
104,W0CBI,147.15,+,0.6,TSQL,100,100,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Aurora Repeater Assoc (ARA) | CCARC | 2016-01-17,18.2
105,K0IBM,448.85,-,5,TSQL,88.5,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Aurora Repeater Assoc | CCARC | 2016-01-17,18.2
106,N0MHU,224,-,1.6,TSQL,103.5,103.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Rocky Mountain Radio League | CCARC | 2017-03-11,18.2
107,N0OWY,447.5,-,5,TSQL,88.5,88.5,23,23,NN,FM,5,"Jefferson | OPEN | On-Air | Aurora Repeater Association | CCARC | 2014-04-28
    Please help us confirm this repeater!",18.7
108,KE4GUQ,145.34,-,0.6,TSQL,103.5,127.3,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Rocky Mtn Radio League | CCARC | 2016-12-23,18.9
109,N0SZ,145.175,-,0.6,DTCS,88.5,88.5,73,73,NN,DIG,5,Clear Creek | OPEN | Off-Air | Rocky Mountain Ham Radio | CCARC | 2017-10-07,18.9
110,KD0RG,449.925,-,5,TSQL,114.8,114.8,23,23,NN,FM,5,Adams | OPEN | On-Air | KD0RG | CCARC | 2016-07-17,19.2
111,KE0SJ,145.28,-,0.6,Tone,100,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | CCARC | 2015-05-22,19.6
112,W0TX,448.625,-,5,TSQL,100,100,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Denver Radio Club | CCARC | 2017-03-11,19.6
113,KE0SJ,449.525,-,5,,88.5,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | KE0SJ | CCARC | 2015-05-23,19.6
114,K0FEZ,146.985,-,0.6,TSQL,100,100,23,23,NN,FM,5,Denver | OPEN | On-Air | El Jebel RADOPS | CCARC | 2016-09-05,19.6
115,WB0TUB,146.64,-,0.6,Tone,100,88.5,23,23,NN,FM,5,Jefferson | OPEN | On-Air | Denver Radio League | CCARC | 2017-03-11,19.6
116,W0TX,446.7875,-,5,,88.5,88.5,23,23,NN,DIG,5,Jefferson | OPEN | On-Air | Denver Radio Club | CCARC | 2017-12-09,20
117,WB0WDF,224.94,-,1.6,Tone,67,88.5,23,23,NN,FM,5,"Teller | OPEN | Testing | CCARC | 2012-06-18
    Please help us confirm this repeater!",20.1
118,WB0WDF,145.46,-,0.6,Tone,67,88.5,23,23,NN,FM,5,"Teller | OPEN | On-Air | WB0WDF | CCARC | 2012-06-15
    Please help us confirm this repeater!",20.1
