Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance
26,KB0SW,447,-,5,Tone,107.2,88.5,23,23,NN,FM,5,Garfield | OPEN | On-Air | CCARC | 2018-01-15,76.7
27,WA4HND,449.3,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,Mesa | OPEN | On-Air | CCARC | 2018-01-16,77.3
28,W0BX,446.9125,-,5,,88.5,88.5,23,23,NN,DIG,5,Mesa | OPEN | On-Air | Bill Frost | 2018-01-09,79.6
29,K7SDC,449.05,-,5,Tone,88.5,88.5,23,23,NN,FM,5,"Carbon | OPEN | On-Air | Sinbad Desert ARC | UVHFS | 2008-07-11
    Please help us confirm this repeater!",85
30,K7SDC,147.32,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Carbon | OPEN | On-Air | Sinbad Desert ARC | UVHFS | 2017-09-03,85
31,WX7Y,145.175,-,0.6,,88.5,88.5,23,23,NN,FM,5,Carbon | OPEN | On-Air | SDARC | 2018-01-11,85.5
32,,447.35,-,5,Tone,107.2,88.5,23,23,NN,FM,5,"Delta | OPEN | Grand Mesa Repeater Assoc (GMRA) | CCARC | 2012-11-10
    Please help us confirm this repeater!",89.8
33,W0ALC,147.36,+,0.6,Tone,100,88.5,23,23,NN,FM,5,"Delta | OPEN | W0ALC | CCARC | 2012-11-10
    Please help us confirm this repeater!",90.4
34,W0ALC,449.825,-,5,Tone,100,88.5,23,23,NN,FM,5,Delta | OPEN | W0ALC | CCARC | 2018-04-04,90.4
35,KC0QXX,147.195,+,0.6,Tone,107.2,88.5,23,23,NN,FM,5,Delta | OPEN | 2018-04-04,90.4
36,KD5OPD,146.79,-,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,"Montrose | OPEN | On-Air | KC0UXX | CCARC | 2012-09-06
    Please help us confirm this repeater!",90.7
37,KC0UUX,146.91,-,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,"Montrose | OPEN | On-Air | CCARC | 2014-12-13
    Please help us confirm this repeater!",90.7
38,KD7HLL,449.9,-,5,Tone,123,88.5,23,23,NN,FM,5,San Juan | OPEN | On-Air | UVHFS | 2018-01-15,92.8
39,KB0YNA,449.65,-,5,TSQL,151.4,151.4,23,23,NN,FM,5,Mesa | OPEN | On-Air | Keri Washburn | CCARC | 2016-10-28,93.3
40,KB0VJJ,145.355,-,0.6,TSQL,88.5,123,23,23,NN,FM,5,Mesa | OPEN | On-Air | Colorado Connection | CCARC | 2017-01-06,93.3
41,KB0YNA,449.7,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,San Miguel | OPEN | On-Air | Grand Mesa Repeater Association ( GMRA ) | CCARC | 2017-12-07,94.6
42,KB5ITS,145.19,-,0.6,Tone,100,88.5,23,23,NN,FM,5,Montezuma | OPEN | On-Air | CCARC | 2018-01-15,94.9
43,KB5ITS,447.275,-,5,Tone,100,88.5,23,23,NN,FM,5,Montezuma | OPEN | On-Air | 2017-12-07,94.9
44,WX7Y,447.7,-,5,Tone,123,88.5,23,23,NN,FM,5,"Emery | OPEN | UVHFS | 2013-08-05
    Please help us confirm this repeater!",96.2
45,K7YI,447.625,-,5,Tone,100,88.5,23,23,NN,FM,5,"Emery | OPEN | On-Air | San Rafael Cactus Assoc | UVHFS | 2008-07-11
    Please help us confirm this repeater!",96.2
46,K7SDC,147.06,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Emery | OPEN | On-Air | Sinbad Desert ARC | UVHFS | 2015-08-04,96.3
47,WX7Y,223.92,-,1.6,Tone,88.5,88.5,23,23,NN,FM,5,"Emery | OPEN | UVHFS | unverified.
  
   Please help us confirm this repeater!",96.3
48,KB0SW,449.5,-,5,Tone,107.2,88.5,23,23,NN,FM,5,Mesa | OPEN | Off-Air | Grand Mesa Repeater Association (GMRA) | CCARC | 2016-07-01,97.1
49,KF7YIX,1299.25,-,20,,88.5,88.5,23,23,NN,DIG,5,"Washington | OPEN | On-Air | UVHFS | unverified.
  
   Please help us confirm this repeater!",97.7
50,W7CEU,145.43,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,"Carbon | OPEN | UVHFS | 2008-07-11
    Please help us confirm this repeater!",98.6
51,W7CEU,448.3,-,5,Tone,88.5,88.5,23,23,NN,FM,5,"Carbon | OPEN | College of Eastern Utah ARC | UVHFS | unverified.
  
   Please help us confirm this repeater!",98.6
