Location,Name  ,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
77      ,WD0EKR,223.96   ,-     ,1.6   ,TSQL,103.5    ,103.5    ,23      ,NN          ,FM  ,5    ,"Canon City, Fremont Peak"
78      ,N0MHU ,224      ,-     ,1.6   ,TSQL,103.5    ,103.5    ,23      ,NN          ,FM  ,5    ,"Golden, Guy Hill"
79      ,W0IA  ,224.02   ,-     ,1.6   ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Boulder, Lee Hill"
80      ,ND0Q  ,224.26   ,-     ,1.6   ,TSQL,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Pueblo, Baculite Mesa"
81      ,KN6VV ,224.32   ,-     ,1.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,Loveland
82      ,W0TX  ,224.38   ,-     ,1.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Lakewood, Green Mountain"
83      ,W0UPS ,224.52   ,-     ,1.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Fort Collins, Horsetooth Mountain"
84      ,N0POH ,224.74   ,-     ,1.6   ,TSQL,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Golden, Guy Hill"
85      ,W0UPS ,224.84   ,-     ,1.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Fort Collins, Buckhorn Mountain"
86      ,W0CRA ,224.98   ,-     ,1.6   ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Conifer, Conifer Mountain"
87      ,N0SZ  ,445.0625 ,-     ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Colorado Springs, Cheyenne Mountain"
88      ,N0SZ  ,445.0875 ,-     ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Breckenridge, Baldy"
89      ,WA2YZT,446.8375 ,-     ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Golden, Lookout"
90      ,K7PFJ ,446.95   ,-     ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Colorado Springs, Almagre Mountain"
91      ,W0CDS ,446.9625 ,-     ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Golden, Lookout Mountain"
92      ,KB0VGD,446.975  ,-     ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Golden, Table Mountain"
93      ,N0SZ  ,446.9875 ,-     ,5     ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Boulder, Lee Hill"
94      ,KF0WF ,447.025  ,-     ,5     ,Tone,123      ,88.5     ,23      ,NN          ,FM  ,5    ,Colorado Springs
95      ,K0VQ  ,447.05   ,-     ,5     ,TSQL,136.5    ,136.5    ,23      ,NN          ,FM  ,5    ,"Aspen, Aspen Mountain"
96      ,WZ0N  ,447.125  ,-     ,5     ,TSQL,103.5    ,103.5    ,23      ,NN          ,FM  ,5    ,"Fairplay, Sacramento Mountain"
97      ,W0CRA ,447.15   ,-     ,5     ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Conifer, Conifer Mountain"
98      ,AB0BX ,447.225  ,-     ,5     ,TSQL,141.3    ,141.3    ,23      ,NN          ,FM  ,5    ,"Highlands Ranch, STEM School"
99      ,W0UPS ,447.275  ,-     ,5     ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Fort Collins, Horsetooth Mountain"
100     ,K0IRP ,447.35   ,-     ,5     ,Tone,151.4    ,88.5     ,23      ,NN          ,FM  ,5    ,Colorado Springs
101     ,WB0WDF,447.4    ,-     ,5     ,Tone,67       ,88.5     ,23      ,NN          ,FM  ,5    ,Cripple Creek
102     ,WA4CCC,447.45   ,-     ,5     ,Tone,103.5    ,88.5     ,23      ,NN          ,FM  ,5    ,Winter Park
103     ,KC0RBT,447.45   ,-     ,5     ,Tone,123      ,88.5     ,23      ,NN          ,FM  ,5    ,Fort Collins
104     ,N0OWY ,447.5    ,-     ,5     ,TSQL,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Conifer, Critchell Mountain"
