Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Op Status,EchoLink,IRLP,Notes,Nets,Coverage,Downlink Tone,Links,DMR Enabled,Color Code,Wide Network,Affiliate,Web links,Commands,Talkgroups,Colorado,Northern Colorado,YSF Digital Enabled,DG-ID,Grid,Mixed-Mode,D-STAR Enabled,Node,Sources,Denver Regional,AllStar,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,TAC 310,Mountain Reg USA,WIRES-X,Worldwide,English,Feed,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Wyoming,WyLOCAL,Local Network,Southern Colorado,Bandwidth,Local or Reflector,CKRG,KansasLink,Kansas,Location Photo,BYRG
444.5,5,151.4,N7UVW,McCook,NE,OPEN,,101.9,SE,yes,444.5,449.5,151.4,Frontier,,dirt,link comm rlc 1,,yes,On-Air,,,16,,20,,,,,,Dirt Truckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,162.2,N7UVW,McCook,NE,OPEN,,101.9,SE,yes,444.8,449.8,162.2,Red Willow,,N7UVW,Link Com RLC-1 Controller,,yes,On-Air,,,180,,50,,,,,,Dirt Truckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1,0,100,WD0BQM,Mitchell,NE,OPEN,I,103.7,NW,yes,445.1,445.1,100,Scotts Bluff,,,,,yes,On-Air,,3942,This is a simplex IRLP node.,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,88.5,KS0GLD,Goodland,KS,OPEN,I,116.6,SSE,yes,147.03,147.63,88.5,Sherman,,Sherman County Amateur Radio Club (SCARE),,,yes,Off-Air,,3769,This is the highest (above sea level) amateur repeater in Kansas.,,I-70,,,,,,,SCARE on Facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,117.8,S,yes,146.895,146.295,103.5,Kit Carson,,Big Sandy ARC,,CCARC,yes,On-Air,830619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,WB7GR,"Cheyenne, Chalk Bluffs",WY,OPEN,,120,W,yes,449.3,444.3,,Laramie,,WU7G,,,yes,On-Air,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,,KB0DZB,Oberlin,KS,OPEN,,121.1,SE,yes,145.19,144.59,,Decatur,,TRI-STATE.,Linked.,Kansas Repeater Council,yes,On-Air,,,,,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,,W0SOK,Cozad,NE,OPEN,,124.2,ESE,yes,147.135,147.735,,Dawson,,Heartland Amateur Radio Association,E-power.,,yes,Off-Air,,,,Wed 2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,CSQ,N0UVP,Gordon,NE,OPEN,,125.7,N,yes,146.67,146.07,CSQ,Sheridan,,SHARC,E-power.,,yes,Off-Air,,,"Working on the transmitter, hope to be back on the air soon.",,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.75,5,162.2,NV8Q,"Colby, K-Link",KS,OPEN,,125.7,SSE,yes,444.75,449.75,162.2,Thomas,Unknown,,"Linked to K-Link Repeater Network 
E-power (batt) 
Allstar 46010",Kansas Repeater Council,yes,,,,"Repeater is intermittently off-air, and the Allstar node is down.",,"Wide area. 
 Click for coverage map.  50 mi radius.",162.2,,,,,K-Link Repeater Network,K-Link Repeater Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
