Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Op Status,Coverage,EchoLink,IRLP,Notes,Nets,DMR Enabled,Color Code,Wide Network,Affiliate,Web links,Downlink Tone,Links,Talkgroups,Colorado,Northern Colorado,Denver Regional,YSF Digital Enabled,DG-ID,Mixed-Mode,AllStar,Commands,WIRES-X,Grid,D-STAR Enabled,Node,Sources,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,TAC 310,Mountain Reg USA,P25 Digital Enabled,NAC,Default Reflector,Feed,Worldwide,English,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,Wyoming,WyLOCAL,Southern Colorado,Bandwidth,Local or Reflector,CKRG,KansasLink,Kansas,Location Photo,BYRG
146.94,-0.6,123,N0UGO,North Platte,NE,OPEN,EI,89.3,E,,146.94,146.34,123,Lincoln,,Charlie Allen,Linked to 146.760 in Ogallala and 442.250 south of North Platte,WB0CMC,,On-Air,,751985,7349,,"Sunday Night net: Sun at 20:30 
Wednesday Night net: Wed at 21:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,123,N0IQ,North Platte,NE,OPEN,EI,89.3,E,,147.33,147.93,123,Lincoln,,Randy Allen,,,,On-Air,,857936,7627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,90,S,,146.895,146.295,103.5,Kit Carson,,Big Sandy ARC,,CCARC,,On-Air,,830619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,88.5,KS0GLD,Goodland,KS,OPEN,I,91.5,SSE,,147.03,147.63,88.5,Sherman,,Sherman County Amateur Radio Club (SCARE),,,,Off-Air,I-70,,3769,This is the highest (above sea level) amateur repeater in Kansas.,,,,,,SCARE on Facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,K0TAJ,"McCook, 180' tower S. of McCook",NE,OPEN,,92,SE,,147.27,147.87,,Red Willow,,McCook ARA,Fusion Repeater,,,On-Air,50,,,,Monday Nights at 7PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,162.2,N7UVW,McCook,NE,OPEN,,92.2,SE,,444.8,449.8,162.2,Red Willow,,N7UVW,Link Com RLC-1 Controller,,,On-Air,50,,,180,,,,,Dirt Truckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,151.4,N7UVW,McCook,NE,OPEN,,92.2,SE,,444.5,449.5,151.4,Frontier,,dirt,link comm rlc 1,,,On-Air,20,,,16,,,,,Dirt Truckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,-0.6,103.5,N0NEB,Harrisburg,NE,OPEN,,98.2,NW,,147,146.4,103.5,Banner,,Tri-City Radio Amateur Club,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.75,5,162.2,NV8Q,"Colby, K-Link",KS,OPEN,,103.6,SE,,444.75,449.75,162.2,Thomas,Unknown,,"Linked to K-Link Repeater Network 
E-power (batt) 
Allstar 46010",Kansas Repeater Council,,,"Wide area. 
 Click for coverage map.  50 mi radius.",,,"Repeater is intermittently off-air, and the Allstar node is down.",,,,,K-Link Repeater Network,K-Link Repeater Network,162.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,156.7,NW0K,Colby,KS,OPEN,I,105,SE,,146.82,146.22,156.7,Thomas,,TARC,"Closed autopatch, e-power.",Kansas Repeater Council,,On-Air,Local,,7552,,,,,,,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.125,5,114.8,WB7GR,"Scottsbluff, Stage Hill",NE,OPEN,,105.3,NW,,444.125,449.125,114.8,Scotts Bluff,,SBCEMA,Linked to Albin (147.165) and Cheyenne (146.775),,,On-Air,Wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
