Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Last update,Uplink Tone,Downlink Tone,EchoLink,IRLP,Coordination,On-air,Sponsor,Features,Coverage,AllStar,Affiliate,Links,Commands,Notes,Nets,Web links,DMR Enabled,Color Code,Wide Network,Grid,Location Photo,Talkgroups,Colorado,Southern Colorado,Talkgroup Network,Denver Regional,Northern Colorado,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Feed,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Local/Cluster,Mountain Reg USA,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,YSF Digital Enabled,DG-ID,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local,Wyoming,WyLOCAL,WIRES-X,Worldwide English,N. Colorado
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,37.8,NE,,449.8,444.8,,,,Garfield,On-Air,,107.2,,,,CCARC,,,8,,,,,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,,41.7,NNW,,447,442,,,,Garfield,On-Air,,107.2,,,,CCARC,,,8,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,50.4,NE,,146.76,146.16,,,,Garfield,Off-Air,,107.2,,243117,,CCARC,,"N0SWE,  Roaring Fork Amateur Repeater Cooperative",E-power.,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",,,,,,,,,,,DM69cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,53.2,SE,,147.33,147.93,,,,Delta,On-Air,,107.2,,,,CCARC,,North Fork Repeater Assoc.,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,54.4,SE,,146.91,146.31,,,,Montrose,On-Air,,107.2,107.2,,,CCARC,,,E-Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,54.4,SE,,146.79,146.19,,,,Montrose,On-Air,,107.2,107.2,,,CCARC,,KC0UXX,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,55.6,SW,,146.76,146.16,,,,Grand,On-Air,,88.5,,,,UVHFS,,Sinbad Desert ARC,,Moab and immediate surroundings.,,,,,8,,http://www.sdarc.us/repeaters/bald.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,55.7,SW,,449.1,444.1,,,,Grand,On-Air,,107.2,107.2,,,UVHFS,,Grand Mesa Repeater Association (GMRA),8,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",,,,,,RACES Wed. 1930 hours,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,,63.5,WSW,,146.9,146.3,,,,Grand,On-Air,,88.5,,,,UVHFS,,Sinbad Desert ARC,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",Moab and immediate surroundings.,,,,,,,http://sdarc.us/repeaters/moab.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,66.5,SE,,448.65,443.65,,,,Montrose,On-Air,,,151.4,,,,,KB0YNA,,Wide area.,,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
