Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Affiliate,Links,EchoLink,IRLP,AllStar,Web links,Coordination,Last update,Features,Coverage,Notes,D-STAR Enabled,Node,Sources,YSF Digital Enabled,DG-ID,Mixed-Mode,Grid,Nets,Feed,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Location Photo,Commands,P25 Digital Enabled,NAC,Default Reflector,Worldwide,North America,Local/Cluster,On-air,WIRES-X,Denver Regional,Talkgroup Network,Northern Colorado,English,Europe,TAC 310,DCI Bridge,Southwest USA,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,Texas,COMM 1,Texas/Oklahoma Regional USA,NORCAL 1,NORCAL 5150,Local or Reflector,UA English 1,UA English 2,CAL 1,Hytera USA,Parrott,Audio Test
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,138.1,N,,147.225,147.825,107.2,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",347086,3990,,Colorado Repeater Association,CCARC,,Closed autopatch,Wide area,,,,,,,,,"CRA Net, Sunday 9AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.4,5,100,K5AKW,"Placitas, Sandia Peak",NM,OPEN,,141,SSW,,443.4,448.4,100,,Sandoval,On-Air,Sandia Vista ARC,,,,,,http://sandiavista.net,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,KZ0DEM,"Pritchett,  Tator Butte",CO,OPEN,,141.5,ESE,,146.64,146.04,100,100,Las Animas,Off-Air,,,,,,,KZ0DEM Repeaters,CCARC,,,Wide area: West BACA and East Las Animas counties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,100,NM5SC,"Placitas, La Madera",NM,OPEN,A,142.9,SSW,,147.08,147.68,100,,Sandoval,On-Air,Sandoval County ARES,ARRL,,,,28176,http://www.nmscares.org,NMFCC,,"Linked, e-power.","Wide area: Sandia Mtns, Edgewood, Moriarty, Madrid, Golden.",25,,,,,,,,Sandoval County ARES: Mon at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,143,W,,146.67,146.07,100,,La Plata,On-Air,Durango ARC,,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",,,,DARC Repeaters,CCARC,,11,Wide area.,Linked active in the summer months only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,KC0UFO,"Fairplay, Sacramento Mountain",CO,OPEN,,143.4,NNW,,447.125,442.125,103.5,103.5,Park,On-Air,KC0UFO,"Park County Radio Club, AB0PC",,,,,,CCARC,,Emergency automatic generator.,"Covers Fairplay, Alma, and western South Park.","Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",,,,,,,DM69wf,"When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,143.4,W,,145.37,144.77,100,100,La Plata,On-Air,,,,,,,http://www.sjcham.com,CCARC,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,143.6,N,,446.925,441.925,,,Douglas,On-Air,,,Full-time to the  Colorado TRBO System .,,,,Rocky Mountain Ham Radio,CCARC,,,,See the website for programming info.,,,,,,,,,,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   
