Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Features,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,Wide Network,Coverage,Affiliate,Links,Notes,Web links,EchoLink,IRLP,Downlink Tone,Grid,Commands,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Nets,On-air,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,AllStar,YSF Digital Enabled,DG-ID,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Feed,WIRES-X,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Location Photo
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,18.1,S,yes,448.125,443.125,,,,Jefferson,On-Air,Denver PD EEB,,CCARC,yes,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,18.7,SSW,yes,145.28,144.68,,,,Jefferson,On-Air,,"Closed autopatch, e-power, linked.",CCARC,yes,100,,,,Wide area.,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",Intermountain Repeater Group,,,,,,,,,,,,Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,18.7,SSW,yes,448.625,443.625,,,,Jefferson,On-Air,Denver Radio Club,E-power.,CCARC,yes,100,,,,Denver metro area.,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,DRC Repeaters,,,100,,,,,,,,,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,18.7,SSW,yes,146.985,146.385,,,,Denver,On-Air,El Jebel RADOPS,E-power.,CCARC,yes,100,,,,,,,,,,3346,100,,,,,,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,18.7,SSW,yes,146.64,146.04,,,,Jefferson,On-Air,Denver Radio League,E-power.,CCARC,yes,100,,,,"Wide area. 
   Repeater Coverage Map",,,8,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,18.7,SSW,yes,449.525,444.525,,,,Jefferson,On-Air,KE0SJ,E-power.,CCARC,yes,CSQ,,,,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,19.6,S,yes,449.625,444.625,,,,Jefferson,On-Air,Rocky Mountain Ham Radio,E-power,CCARC,yes,141.3,,,,,,,,,,3750,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,19.7,S,yes,145.37,144.77,,,,Jefferson,On-Air,Rocky Mountain Ham Radio,,CCARC,yes,,yes,7,,,,,See the website for programming information.,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,19.8,S,yes,446.8375,441.8375,,,,Jefferson,On-Air,WA2YZT,200,CCARC,yes,,yes,7,,,,Full-time to the  Colorado TRBO System .,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,19.8,S,yes,1299.9,1299.9,yes,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",Jefferson,On-Air,Colorado D-Star,,,yes,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
