Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
93,W0UPS,145.11500,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Fort Collins, Horsetooth Mountain"
94,W0QEY,449.85000,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Fort Collins, CSU Durward Hall"
95,W0QEY,147.36000,+,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Fort Collins, CSU Durward Hall"
96,W0UPS,447.27500,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Fort Collins, Horsetooth Mountain"
97,KE0AE,147.06000,+,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Genoa"
98,W0CBI,147.15000,+,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Golden, Guy Hill"
99,N0POH,224.74000,-,1.60000,Tone,88.5,88.5,023,NN,FM,5,"Golden, Guy Hill"
100,K0IBM,448.85000,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Golden, Guy Hill"
101,W0GV,448.97500,-,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Golden"
102,KE0SJ,449.52500,-,5.00000,,88.5,88.5,023,NN,FM,5,"Golden, Centennial Cone"
103,W0KU,449.62500,-,5.00000,Tone,141.3,141.3,023,NN,FM,5,"Golden, Lookout Mountain"
104,KE0SJ,145.28000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Golden, Centennial Cone"
105,N0PYY,448.12500,-,5.00000,Tone,107.2,88.5,023,NN,FM,5,"Golden"
106,W0UPS,146.85000,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Greeley, UNC"
107,KC0KWD,147.00000,+,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Greeley"
108,KC0KWD,448.47500,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Greeley"
109,K0OJ,449.72500,-,5.00000,Tone,127.3,88.5,023,NN,FM,5,"Greeley, UNC"
110,W0VTL,147.12000,+,0.60000,,88.5,88.5,023,NN,FM,5,"Gunnison"
111,KB0VJJ,147.07500,+,0.60000,Tone,88.5,123.0,023,NN,FM,5,"Kremmling, Santoy Peak"
112,NX0G,146.68500,-,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Lake George, Badger Mountain"
113,KC0CVU,147.36000,+,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Lake George, Badger Mountain"
114,KB0VJJ,145.44500,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Leadville, Mosquito Pass"
115,W0ENO,147.27000,+,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Longmont"
116,N0EPA,448.52500,-,5.00000,Tone,151.4,88.5,023,NN,FM,5,"Longmont"
117,W0ENO,448.80000,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Longmont"
118,W0LRA,147.19500,+,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Loveland, Namaqua Hill"
