Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
58,ND0Q,224.260000,-,1.600000,Tone,88.5,88.5,023,NN,FM,5.00,,"Pueblo, Baculite Mesa",,,,
59,ND0Q,447.950000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,Pueblo,,,,
60,KB0TUC,927.700000,-,25.000000,DTCS,88.5,88.5,114,NN,FM,5.00,,"Canon City, Fremont Peak",,,,
61,KA0WUC,145.415000,-,0.600000,Tone,179.9,88.5,023,NN,FM,5.00,,Woodland Park,,,,
62,NX0G,146.820000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,Woodland Park,,,,
63,NX0G,448.650000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,Woodland Park,,,,
64,KA0WUC,449.025000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,Woodland Park,,,,
65,W0CRA,447.575000,-,5.000000,Tone,107.2,107.2,023,NN,FM,5.00,,"Idaho Springs, Squaw Mountain",,,,
66,W0TX,224.380000,-,1.600000,Tone,100.0,100.0,023,NN,FM,5.00,,"Lakewood, Green Mountain",,,,
67,KC0CVU,448.000000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,"Colorado Springs, Cheyenne Mountain",,,,
68,WB0TUB,449.600000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"Centennial, Warren Mountain",,,,
69,WQ8M,448.700000,-,5.000000,Tone,146.2,88.5,023,NN,FM,5.00,,Parker,,,,
70,W0MOG,927.800000,-,25.000000,DTCS,88.5,88.5,116,NN,FM,5.00,,Colorado Springs,,,,
71,KA0WUC,927.900000,-,25.000000,DTCS,88.5,88.5,205,NN,FM,5.00,,Woodland Park,,,,
72,N0SZ,145.175000,-,0.600000,DTCS,88.5,88.5,073,NN,DIG,5.00,,"Evergreen, Lower Squaw Mountain",,,,
73,K7PFJ,446.950000,-,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Colorado Springs, Almagre Mountain",,,,
74,KC0CVU,927.850000,-,25.000000,DTCS,88.5,88.5,114,NN,FM,5.00,,"Colorado Springs, Cheyenne Mountain",,,,
75,K0JSC,446.737500,-,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Canon City, Fremont Peak",,,,
76,K0JSC,447.975000,-,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,"Canon City, Colorado",,,,
77,N0SZ,446.937500,-,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Idaho Springs, Squaw Mountain",,,,
78,N0ESQ,446.925000,-,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Castle Rock, Devils Head",,,,
79,WB0WDF,224.940000,-,1.600000,Tone,67.0,88.5,023,NN,FM,5.00,,Cripple Creek,,,,
80,K0JSC,448.975000,-,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,Pueblo West,,,,
81,KA0WUC,447.675000,-,5.000000,Tone,179.9,179.9,023,NN,FM,5.00,,Woodland Park,,,,
82,KC0CVU,446.912500,-,5.000000,,88.5,88.5,023,NN,DV,5.00,,"Colorado Springs, Cheyenne Mountain",CQCQCQ,,,0
