Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Features,IRLP,Notes,Nets,Web links,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Sponsor,Commands,AllStar,On-air,Affiliate,EchoLink,D-STAR Enabled,Node,Sources,Links,Grid,Location Photo
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,string,45.8,NW,string,447,442,107.2,undefined,Garfield,On-Air,Wide area.,8,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,string,50.6,SSE,string,146.91,146.31,107.2,107.2,Montrose,On-Air,undefined,E-Power,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,string,50.6,SSE,string,146.79,146.19,107.2,107.2,Montrose,On-Air,undefined,E-power.,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,KC0UXX,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,56.3,E,string,146.88,146.28,107.2,undefined,Garfield,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,Ski Country ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",undefined,undefined
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,56.3,E,string,447.1,442.1,107.2,undefined,Garfield,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,Ski Country ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,56.3,E,string,449.6,444.6,107.2,undefined,Garfield,On-Air,Wide area.,e-power Linked to GMRA open system,undefined,undefined,undefined,http://www.gmra.org,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,56.3,E,string,146.85,146.25,88.5,123,Garfield,On-Air,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",70,undefined,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,undefined,CCARC,string,undefined,undefined,undefined,Colorado Connection,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,58.9,E,string,449.725,444.725,179.9,undefined,Garfield,On-Air,Wide area.,EchoLink.,3722,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,Roaring Fork Amateur Repeater Cooperative (RFARC),undefined,28434,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,string,58.9,E,string,147.39,147.99,107.2,undefined,Garfield,On-Air,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",undefined,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,Roaring Fork Amateur Repeater Cooperative,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.65,-5,string,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,string,61.8,SE,string,448.65,443.65,string,151.4,Montrose,On-Air,Wide area.,undefined,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,KB0YNA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",undefined,undefined
