Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Coverage,Sponsor,Last update,Uplink Tone,On-air,Affiliate,Features,Coordination,Links,EchoLink,IRLP,Notes,Web links,Location Photo,Grid,Commands,Downlink Tone,Nets,AllStar,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Worldwide,North America,English,Data,DMRX 1,Utah Statewide 2,Local/Cluster,TAC 310,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,YSF Digital Enabled,DG-ID,Mixed-Mode,Europe,DCI Bridge,Local,Colorado,Southern Colorado,WIRES-X,Southwest USA,Denver Regional,Northern Colorado,Wyoming,WyLOCAL
223.92,-1.6,88.5,WX7Y,"Huntington,  Skyline Dr",UT,OPEN,string,54.7,WNW,string,223.92,222.32,undefined,undefined,undefined,Emery,undefined,"Wide area: Extreme southern end of Utah county (to the north) and the valley communities from Fairview and Nephi down to Salina, with coverage toward Delta.",undefined,string,88.5,Unknown,Sinbad Desert ARC,"Remote base, 8,702'.",UVHFS,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.06,0.6,88.5,K7SDC,"Castle Dale, Horn Mountain",UT,OPEN,EI,54.7,WNW,string,147.06,147.66,undefined,undefined,undefined,Emery,On-Air,"Wide area: Most of western Emery County including the towns of Castle Dale, Orangeville, Huntington, Cleveland, Ferron, and further east into the San Rafael desert. It also covers the towns of Sunnyside and East Carbon, UT.",Sinbad Desert ARC,string,88.5,undefined,undefined,"Closed autopatch, remote base.",UVHFS,Full-time to the  Sinbad Desert (SDARC) System .,64264,3270,8,http://sdarc.us/repeaters/horn.html,undefined,DM49kf,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1299.25,-20,string,KF7YIX,"Torquerville, Hurricane Mesa",UT,OPEN,string,54.9,WNW,string,1299.25,1279.25,string,KF7YIX (A) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",Washington,On-Air,undefined,undefined,string,undefined,undefined,undefined,undefined,UVHFS,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.2,0.6,88.5,K7GX,"Price, Wood Hill",UT,OPEN,EI,55,NW,string,147.2,147.8,undefined,undefined,undefined,Carbon,undefined,undefined,undefined,string,88.5,Unknown,undefined,undefined,UVHFS,undefined,64264,3270,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.43,-0.6,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,string,55,NW,string,145.43,144.83,undefined,undefined,undefined,Carbon,undefined,Price.,undefined,string,88.5,Unknown,undefined,5,UVHFS,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.3,-5,string,K7GX,"Price, Wood Hill",UT,OPEN,EI,55,NW,string,448.3,443.3,undefined,undefined,undefined,Carbon,undefined,undefined,undefined,string,string,Unknown,undefined,undefined,UVHFS,undefined,64264,3270,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.5,-1.6,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,string,55,NW,string,224.5,222.9,undefined,undefined,undefined,Carbon,undefined,undefined,College of Eastern Utah ARC,string,88.5,Unknown,undefined,5,UVHFS,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.3,-5,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,string,55,NW,string,448.3,443.3,undefined,undefined,undefined,Carbon,undefined,Price.,College of Eastern Utah ARC,string,88.5,Unknown,undefined,undefined,UVHFS,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,string,55.3,SE,string,449.1,444.1,undefined,undefined,undefined,Grand,On-Air,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",Grand Mesa Repeater Association (GMRA),string,107.2,undefined,undefined,8,UVHFS,undefined,undefined,undefined,undefined,GMRA Repeaters,undefined,undefined,undefined,107.2,RACES Wed. 1930 hours,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,string,55.5,SE,string,146.76,146.16,undefined,undefined,undefined,Grand,On-Air,Moab and immediate surroundings.,Sinbad Desert ARC,string,88.5,undefined,undefined,undefined,UVHFS,undefined,undefined,undefined,8,http://www.sdarc.us/repeaters/bald.html,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
