Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Web links,Coordination,Last update,Downlink Tone,Nets,Notes,D-STAR Enabled,Node,Sources,On-air,Affiliate,IRLP,Links,EchoLink,Location Photo,Grid,Commands,AllStar,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Worldwide,North America,English,Data,DMRX 1,Utah Statewide 2,Local/Cluster,TAC 310,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,68.5,ESE,string,449.775,444.775,173.8,Mesa,On-Air,undefined,undefined,undefined,undefined,CCARC,string,88.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,7573,undefined,7572,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,68.6,ESE,string,146.82,146.22,107.2,Mesa,On-Air,Wide area: North Western Colorado - South to Montrose and East on I-70.,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,28515,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,string,68.6,ESE,string,147.39,147.99,107.2,Mesa,undefined,undefined,KE0TY,Linked.,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.3,-5,string,K7GX,"Price, Wood Hill",UT,OPEN,EI,70.4,NW,string,448.3,443.3,string,Carbon,undefined,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,3270,undefined,64264,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.2,0.6,88.5,K7GX,"Price, Wood Hill",UT,OPEN,EI,70.4,NW,string,147.2,147.8,88.5,Carbon,undefined,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,3270,undefined,64264,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.5,-1.6,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,string,70.5,NW,string,224.5,222.9,88.5,Carbon,undefined,undefined,College of Eastern Utah ARC,5,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.3,-5,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,string,70.5,NW,string,448.3,443.3,88.5,Carbon,undefined,Price.,College of Eastern Utah ARC,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.43,-0.6,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,string,70.5,NW,string,145.43,144.83,88.5,Carbon,undefined,Price.,undefined,5,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,70.6,ESE,string,145.175,144.575,107.2,Mesa,On-Air,Greater grand Junction area.,undefined,"E-power,",undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,3161,undefined,undefined,undefined,undefined,Standard IRLP node commands.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,71.1,ESE,string,448.15,443.15,100,Mesa,On-Air,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,7963,undefined,312189,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
