Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Affiliate,Features,IRLP,Notes,Nets,Web links,Coordination,Last update,Sponsor,Links,Commands,D-STAR Enabled,Node,Sources,On-air,AllStar,EchoLink,DMR Enabled,Color Code,Wide Network,Grid,Location Photo
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,string,109.1,SE,string,147.135,146.535,123,undefined,Hinsdale,On-Air,undefined,undefined,E-power (solar),undefined,undefined,undefined,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,string,109.4,SSE,string,444,449,67,undefined,Huerfano,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,http://www.sjcham.com,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,string,109.4,SSE,string,145.325,144.725,127.3,undefined,San Juan,On-Air,undefined,undefined,Solar powered,undefined,undefined,undefined,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,string,109.4,SSE,string,447.525,442.525,127.3,undefined,San Juan,On-Air,Wide area.,undefined,E-power.,undefined,undefined,undefined,undefined,CCARC,string,KB5ITS,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,string,111.5,SSE,string,147.375,147.975,156.7,undefined,San Juan,On-Air,Wide area.,undefined,13,undefined,undefined,undefined,http://www.sjcham.com,CCARC,string,undefined,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.26,0.6,string,N7PQD,Duchense,UT,OPEN,string,112.1,NW,string,147.26,147.86,string,undefined,Duchesne,On-Air,"Tabby mountain and nearby communities including Duchesne, Roosevelt, and Vernal.",undefined,5,undefined,undefined,undefined,undefined,UVHFS,string,Borderline ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,string,112.8,NNE,string,146.97,146.37,88.5,123,Moffat,On-Air,undefined,Colorado Connection,undefined,undefined,undefined,undefined,undefined,CCARC,string,Northwest Colorado Amateur Radio Association,Full-time to the  Colorado Connection System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.265,-0.6,107.2,WD0HAM,Craig,CO,OPEN,string,112.8,NNE,string,145.265,144.665,107.2,undefined,Moffat,undefined,undefined,undefined,E-power.,undefined,undefined,undefined,undefined,CCARC,string,NW Colorado ARC,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.74,-0.6,100,WB7CBS,Altamont,UT,OPEN,string,117.1,NW,string,146.74,146.14,100,undefined,Duchesne,Off-Air,undefined,undefined,Autopatch.,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.28,0.6,107.2,AD7ZW,Altamont,UT,OPEN,EI,117.1,NW,string,147.28,147.88,107.2,107.2,Duchesne,On-Air,string,undefined,Autopatch,3205,undefined,undefined,http://ad7zwrepeater.xyz,UVHFS,string,AD7ZW,undefined,B21 = 911 B22 = Local Public Safety Dispatch (Non Emergency) B3 = 3 Minute Autopatch Extension B0 = Autopatch Disconnect,undefined,undefined,undefined,undefined,undefined,458414,undefined,undefined,undefined,undefined,undefined
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,130.8,SE,string,449.525,444.525,100,100,Mineral,On-Air,undefined,The Fun Machine,undefined,undefined,undefined,undefined,undefined,undefined,string,N0PKT,Full-time to the  The Fun Machine System .,undefined,undefined,undefined,undefined,undefined,43265,undefined,undefined,undefined,undefined,DM67lt,undefined
146.925,-0.6,string,WA0JS,Creede,CO,OPEN,string,133,SE,string,146.925,146.325,string,undefined,Mineral,Off-Air,undefined,undefined,undefined,undefined,WA0JS license expired,undefined,undefined,CCARC,string,Creede ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,string,136.1,NE,string,449.625,444.625,123,123,Routt,On-Air,Local Steamboat Area,undefined,Statewide Linked System,undefined,undefined,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",http://colcon.org,undefined,string,"Colorado Connection Repeaters, Inc.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,string,136.1,NE,string,147.165,147.765,88.5,123,Routt,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,Colorado Connection,Full-time to the  Colorado Connection System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.21,0.6,107.2,KD0H,Steamboat Springs,CO,OPEN,string,136.2,NE,string,147.21,147.81,107.2,107.2,Routt,On-Air,undefined,undefined,"Linked, WX.",undefined,undefined,undefined,undefined,CCARC,string,SSARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
