Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Affiliate,Links,Last update,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Location Photo,Grid,Coverage,Features,Notes,Web links,Coordination,EchoLink,IRLP,AllStar,Nets,Feed,Sponsor,D-STAR Enabled,Node,Sources,Worldwide,North America,Local/Cluster,Denver Regional,Talkgroup Network,Northern Colorado,Mixed-Mode,Local Network,On-air,Commands,YSF Digital Enabled,DG-ID,WIRES-X,P25 Digital Enabled,NAC,Default Reflector,Worldwide English,DCI Bridge,N. Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,Europe,TAC 310,Southwest USA,Mountain Reg USA,Texas,COMM 1,Texas/Oklahoma Regional USA
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,75.6,NNE,yes,449.975,444.975,100,100,Douglas,On-Air,The Fun Machine,Full-time to the  The Fun Machine System .,yes,,,,,,,,,,Simulcast and Voted with Cedarwood and Methodist.,"Can be linked to Allstar, Echolink and others by a Sysop",The Fun Machine,CCARC,,,,,,K0JSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,0,W,yes,919.1,894.1,88.5,CSQ,Pueblo,Off-Air,,,yes,,,,,,,,,Wide area.,,,,CCARC,,,,,,Pueblo HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,16.6,SE,yes,224.32,222.72,88.5,,Custer,Off-Air,,,yes,,,,,,,,,,11,,PHC repeaters,CCARC,,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,16.6,SE,yes,447.175,442.175,88.5,,Pueblo,Off-Air,,,yes,,,,,,,,,Wide area: Southeast Colorado.,11,,Pueblo Ham Club,CCARC,,,,,,Pueblo HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,47.3,ESE,yes,145.115,144.515,88.5,,Pueblo,Off-Air,,,yes,,,,,,,,,,E-power.,,,CCARC,,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,47.3,ESE,yes,146.88,146.28,88.5,CSQ,Pueblo,On-Air,,,yes,,,,,,,,,Wide area.,E-power.,,,CCARC,,,,,,Pueblo HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,52.5,E,yes,146.79,146.19,88.5,CSQ,Pueblo,On-Air,,,yes,,,,,,,,,Wide area.,E-power.,,Pueblo Ham Club,CCARC,,,,,,Pueblo HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,52.5,E,yes,224.26,222.66,88.5,CSQ,Pueblo,Off-Air,,,yes,,,,,,,,,Wide area.,E-power.,,PHC repeaters,CCARC,,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,52.5,E,yes,447.95,442.95,88.5,,Pueblo,On-Air,,,yes,,,,,,,,,Wide area.,E-power.,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,Pueblo Ham Club,CCARC,,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,60.5,SE,yes,146.73,146.13,88.5,,Huerfano,On-Air,,,yes,,,,,,,,,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",6,,Pueblo Ham Club,CCARC,,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
